# Third-party dependency licenses
#
# Generated for Groma v0.2.0 from the full build dependency closure of
# ./cmd/groma and ./cmd/manager, via:
#   go install github.com/google/go-licenses/v2@latest
#   go-licenses csv ./cmd/groma ./cmd/manager
#
# 8 packages the tool classified as Unknown were checked by hand against
# their upstream LICENSE files and corrected below; see NOTICE for
# reproduced attribution notices where upstream projects ship a NOTICE file.
package,license_url,license
github.com/aws/aws-sdk-go-v2/service/sso,https://github.com/aws/aws-sdk-go-v2/blob/service/sso/v1.30.8/service/sso/LICENSE.txt,Apache-2.0
github.com/aws/aws-sdk-go-v2/service/ssooidc,https://github.com/aws/aws-sdk-go-v2/blob/service/ssooidc/v1.35.12/service/ssooidc/LICENSE.txt,Apache-2.0
github.com/aws/aws-sdk-go-v2/service/sts,https://github.com/aws/aws-sdk-go-v2/blob/service/sts/v1.41.5/service/sts/LICENSE.txt,Apache-2.0
github.com/aws/smithy-go,https://github.com/aws/smithy-go/blob/v1.27.7/LICENSE,Apache-2.0
github.com/aws/smithy-go/internal/sync/singleflight,https://github.com/aws/smithy-go/blob/v1.27.7/internal/sync/singleflight/LICENSE,BSD-3-Clause
github.com/awslabs/amazon-ecr-credential-helper/ecr-login,https://github.com/awslabs/amazon-ecr-credential-helper/blob/ecr-login/v0.10.1/ecr-login/LICENSE,Apache-2.0
github.com/beorn7/perks/quantile,https://github.com/beorn7/perks/blob/v1.0.1/LICENSE,MIT
github.com/blang/semver,https://github.com/blang/semver/blob/v3.5.1/LICENSE,MIT
github.com/blang/semver/v4,https://github.com/blang/semver/blob/v4.0.0/v4/LICENSE,MIT
github.com/cenkalti/backoff/v4,https://github.com/cenkalti/backoff/blob/v4.3.0/LICENSE,MIT
github.com/cenkalti/backoff/v5,https://github.com/cenkalti/backoff/blob/v5.0.3/LICENSE,MIT
github.com/cespare/xxhash/v2,https://github.com/cespare/xxhash/blob/v2.3.0/LICENSE.txt,MIT
github.com/chrismellard/docker-credential-acr-env/pkg,https://github.com/chrismellard/docker-credential-acr-env/blob/82a0ddb27589/LICENSE,Apache-2.0
github.com/clbanning/mxj/v2,https://github.com/clbanning/mxj/blob/v2.7.0/LICENSE,MIT
github.com/cncf/xds/go,https://github.com/cncf/xds/blob/dba9d589def2/go/LICENSE,Apache-2.0
github.com/common-nighthawk/go-figure,https://github.com/common-nighthawk/go-figure/blob/734e95fb86be/LICENSE,MIT
github.com/containerd/stargz-snapshotter/estargz,https://github.com/containerd/stargz-snapshotter/blob/estargz/v0.18.1/estargz/LICENSE,Apache-2.0
github.com/coreos/go-oidc/v3/oidc,https://github.com/coreos/go-oidc/blob/v3.17.0/LICENSE,Apache-2.0
github.com/cyberphone/json-canonicalization/go/src/webpki.org/jsoncanonicalizer,https://github.com/cyberphone/json-canonicalization/blob/master/LICENSE,Apache-2.0
github.com/davecgh/go-spew/spew,https://github.com/davecgh/go-spew/blob/d8f796af33cc/LICENSE,ISC
github.com/digitorus/pkcs7,https://github.com/digitorus/pkcs7/blob/3a137a874352/LICENSE,MIT
github.com/digitorus/timestamp,https://github.com/digitorus/timestamp/blob/220c5c2851b7/LICENSE,BSD-2-Clause
github.com/dimchansky/utfbom,https://github.com/dimchansky/utfbom/blob/v1.1.1/LICENSE,Apache-2.0
github.com/docker/cli/cli/config,https://github.com/docker/cli/blob/v29.0.3/LICENSE,Apache-2.0
github.com/docker/distribution/registry/client/auth/challenge,https://github.com/docker/distribution/blob/v2.8.3/LICENSE,Apache-2.0
github.com/docker/docker-credential-helpers,https://github.com/docker/docker-credential-helpers/blob/v0.9.3/LICENSE,MIT
github.com/dustin/go-humanize,https://github.com/dustin/go-humanize/blob/v1.0.1/LICENSE,MIT
github.com/emicklei/go-restful/v3,https://github.com/emicklei/go-restful/blob/v3.13.0/LICENSE,MIT
github.com/envoyproxy/go-control-plane/envoy,https://github.com/envoyproxy/go-control-plane/blob/envoy/v1.37.0/envoy/LICENSE,Apache-2.0
github.com/envoyproxy/protoc-gen-validate/validate,https://github.com/envoyproxy/protoc-gen-validate/blob/v1.3.3/LICENSE,Apache-2.0
github.com/evanphx/json-patch/v5,https://github.com/evanphx/json-patch/blob/v5.9.11/v5/LICENSE,BSD-3-Clause
github.com/felixge/httpsnoop,https://github.com/felixge/httpsnoop/blob/v1.0.4/LICENSE.txt,MIT
github.com/fsnotify/fsnotify,https://github.com/fsnotify/fsnotify/blob/v1.9.0/LICENSE,BSD-3-Clause
github.com/fxamacker/cbor/v2,https://github.com/fxamacker/cbor/blob/v2.9.0/LICENSE,MIT
github.com/go-chi/chi/v5,https://github.com/go-chi/chi/blob/v5.2.3/LICENSE,MIT
github.com/go-errors/errors,https://github.com/go-errors/errors/blob/v1.4.2/LICENSE.MIT,MIT
github.com/go-jose/go-jose/v4,https://github.com/go-jose/go-jose/blob/v4.1.4/LICENSE,Apache-2.0
github.com/go-jose/go-jose/v4/json,https://github.com/go-jose/go-jose/blob/v4.1.4/json/LICENSE,BSD-3-Clause
github.com/go-logr/logr,https://github.com/go-logr/logr/blob/v1.4.3/LICENSE,Apache-2.0
github.com/go-logr/stdr,https://github.com/go-logr/stdr/blob/v1.2.2/LICENSE,Apache-2.0
github.com/go-logr/zapr,https://github.com/go-logr/zapr/blob/v1.3.0/LICENSE,Apache-2.0
github.com/go-openapi/analysis,https://github.com/go-openapi/analysis/blob/v0.24.1/LICENSE,Apache-2.0
github.com/go-openapi/errors,https://github.com/go-openapi/errors/blob/v0.22.4/LICENSE,Apache-2.0
github.com/go-openapi/jsonpointer,https://github.com/go-openapi/jsonpointer/blob/v0.22.1/LICENSE,Apache-2.0
github.com/go-openapi/jsonreference,https://github.com/go-openapi/jsonreference/blob/v0.21.3/LICENSE,Apache-2.0
github.com/go-openapi/loads,https://github.com/go-openapi/loads/blob/v0.23.2/LICENSE,Apache-2.0
github.com/go-openapi/runtime,https://github.com/go-openapi/runtime/blob/v0.29.2/LICENSE,Apache-2.0
github.com/go-openapi/runtime/middleware/denco,https://github.com/go-openapi/runtime/blob/v0.29.2/middleware/denco/LICENSE,MIT
